sale_id,product_sku,currency,price,sale_at,site_id,customer_id,date,time,is_weekend,is_holiday
1,HOM-8,NZD,218.99,2021-09-21 11:58:36,11,99,2021-09-21,11:58:36,false,false
2,HOM-35,GBP,256.99,2021-11-16 20:43:56,6,68,2021-11-16,20:43:56,false,false
3,HOM-20,EUR,339.99,2024-05-26 12:34:25,2,413,2024-05-26,12:34:25,true,false
4,CLO-66,EUR,667179.53,2025-03-27 19:13:49,17,343,2025-03-27,19:13:49,false,false
5,FOO-56,USD,29.99,2020-07-01 18:05:03,13,63,2020-07-01,18:05:03,false,false
6,CLO-55,NZD,12.99,2025-04-20 13:26:25,8,308,2025-04-20,13:26:25,true,false
7,ELE-41,EUR,3226.99,99-99-9999 14:28:27,5,421,99-99-9999,14:28:27,false,false
8,ELE-67,AUD,982.00,2021-12-18 14:29:09,4,97,2021-12-18,14:29:09,true,false
9,ELE-93,EUR,1003.99,2022-11-05 12:24:29,13,315,2022-11-05,12:24:29,true,false
10,ELE-58,GBP,491.00,2025-06-10 09:27:33,6,273,2025-06-10,09:27:33,false,false
11,CLO-98,USD,141.99,2024-01-01 10:43:34,7,357,2024-01-01,10:43:34,false,true
12,KIT-3,GBP,144.00,2025-12-24 12:29:20,12,442,2025-12-24,12:29:20,false,false
13,HOM-50,NZD,355.99,2021-05-06 12:56:55,12,483,2021-05-06,12:56:55,false,false
14,FOO-13,GBP,24.99,2020-06-10 10:24:53,11,9,2020-06-10,10:24:53,false,false
15,HOM-88,EUR,213.99,2025-02-18 99:99:99,17,123,2025-02-18,99:99:99,false,false
16,HOM-64,USD,169.99,2021-10-31 10:58:52,14,397,2021-10-31,10:58:52,true,false
17,FOO-28,GBP,26.99,2021-09-24 09:57:20,14,88,2021-09-24,09:57:20,false,false
18,ELE-62,AUD,500.95,2023-01-31 17:21:19,17,111,2023-01-31,17:21:19,false,false
19,HOM-35,GBP,207.99,2020-10-01 11:51:46,3,15,2020-10-01,11:51:46,false,false
20,KIT-36,GBP,153.99,2025-12-07 16:16:16,16,294,2025-12-07,16:16:16,true,false
21,HOM-18,USD,45.99,2020-03-16 21:30:00,20,497,2020-03-16,21:30:00,false,false
22,HOM-18,GBP,372.99,2024-04-23 12:20:57,13,288,2024-04-23,12:20:57,false,false
23,ELE-49,GBP,85.99,2024-02-01 08:07:39,14,275,2024-02-01,08:07:39,false,false
24,KIT-21,EUR,81.00,2021-11-05 11:53:02,13,20,2021-11-05,11:53:02,false,false
25,HOM-76,EUR,170.99,2021-10-25 15:01:15,10,176,2021-10-25,15:01:15,false,false
26,FOO-14,GBP,28.99,2021-02-12 08:57:41,1,437,2021-02-12,08:57:41,false,false
27,CLO-32,USD,66.99,2023-05-28 15:56:28,10,139,2023-05-28,15:56:28,true,false
28,FOO-15,EUR,23.95,2023-03-21 11:44:34,19,499,2023-03-21,11:44:34,false,false
29,CLO-82,NZD,53.99,2024-03-03 10:36:56,11,287,2024-03-03,10:36:56,true,false
30,KIT-38,GBP,153.99,2022-08-04 18:15:47,16,436,2022-08-04,18:15:47,false,false
31,FOO-72,GBP,40.95,2020-07-18 12:36:46,3,371,2020-07-18,12:36:46,true,false
32,FOO-28,EUR,6.99,2021-01-23 14:00:49,3,267,2021-01-23,14:00:49,true,false
33,HOM-76,GBP,111.99,2023-05-07 15:12:18,9,313,2023-05-07,15:12:18,true,false
34,FOO-13,AUD,38.00,2020-06-25 08:29:32,17,483,2020-06-25,08:29:32,false,false
35,HOM-88,AUD,383.99,2023-04-15 18:35:16,14,12,2023-04-15,18:35:16,true,false
36,CLO-12,GBP,115.99,2020-08-28 21:21:59,18,442,2020-08-28,21:21:59,false,false
37,ELE-94,GBP,483.99,2024-02-16 16:33:45,9,236,2024-02-16,16:33:45,false,false
38,CLO-96,NZD,21.99,2020-08-29 12:34:58,13,234,2020-08-29,12:34:58,true,false
39,CLO-11,EUR,144.00,2022-12-20 20:49:58,9,497,2022-12-20,20:49:58,false,false
40,HOM-18,EUR,39.99,2024-04-30 21:31:00,9,241,2024-04-30,21:31:00,false,false
41,CLO-60,EUR,111.00,2023-03-05 15:06:46,6,327,2023-03-05,15:06:46,true,false
42,FOO-81,NZD,32.99,2025-09-29 15:37:23,9999,9999,2025-09-29,15:37:23,false,false
43,FOO-71,EUR,43.99,2024-11-20 10:44:10,5,119,2024-11-20,10:44:10,false,false
44,KIT-85,NZD,37.00,2020-05-12 18:11:10,19,292,2020-05-12,18:11:10,false,false
45,CLO-68,GBP,87.99,2022-01-18 13:37:57,0,0,2022-01-18,13:37:57,false,false
46,KIT-3,EUR,132.99,2025-10-25 18:17:04,15,336,2025-10-25,18:17:04,true,false
47,CLO-32,USD,108.95,2020-07-06 13:11:54,7,316,2020-07-06,13:11:54,false,false
48,HOM-52,USD,270.99,2024-12-07 13:42:46,1,432,2024-12-07,13:42:46,true,false
49,HOM-76,AUD,406.99,2025-10-07 15:42:39,20,249,2025-10-07,15:42:39,false,false
50,ELE-93,GBP,1742.95,2022-02-12 12:09:41,5,124,2022-02-12,12:09:41,true,false
51,FOO-42,USD,14.99,2025-12-13 09:02:59,10,393,2025-12-13,09:02:59,true,false
52,FOO-28,NZD,22.99,2024-08-20 16:32:44,19,420,2024-08-20,16:32:44,false,false
53,FOO-14,USD,5.95,2020-02-17 08:44:59,4,182,2020-02-17,08:44:59,false,false
54,CLO-98,NZD,85.95,2023-05-03 09:33:52,2,132,2023-05-03,09:33:52,false,false
